id,Sector,Precio,Habitaciones,Baños,Estrato,Área construida,Área privada,Valor administración,Parqueaderos,Precio m²
379,3,360000000,3,3,3,75,77,0,1.0,4675324
380,2,667000000,3,4,4,143,144,570000,2.0,4631944
381,2,1500000000,4,5,5,454,454,1500000,4.0,3303964
382,1,164000000,2,2,2,56,56,0,0.0,2928571
383,3,900000000,3,4,4,191,191,0,1.0,4712041
384,2,1800000000,4,4,4,433,433,1153000,4.0,4157043
385,3,1300000000,4,5,5,180,300,800000,4.0,4333333
386,3,185000000,2,2,2,59,59,170000,1.0,3135593
387,2,860000000,3,4,4,246,246,100000000,4.0,3495934
388,3,280000000,3,2,2,70,70,228000,1.0,4000000
389,2,600000000,3,2,2,140,140,1117000,2.0,4285714
390,3,335000000,3,2,2,88,88,270000,1.0,3806818
391,1,570000000,3,2,2,103,103,488000,2.0,5533980
392,1,470000000,3,3,3,110,110,390000,1.0,4272727
393,2,1600000000,3,4,4,240,240,850000,2.0,6666666
394,0,290000000,3,2,2,69,68,350000,1.0,4264705
395,2,300000000,3,2,2,220,159,0,1.0,1886792
396,1,840000000,3,5,5,120,120,958000,2.0,7000000
397,2,1650000000,3,3,3,267,267,1050000,2.0,6179775
398,3,388000000,3,3,3,94,94,380000,1.0,4127659
399,1,259000000,1,1,1,37,33,191000,0.0,7848484
400,1,270000000,4,3,3,85,85,10000,1.0,3176470
401,3,1950000000,3,4,4,310,310,900000,3.0,6290322
402,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
403,3,5900000000,5,5,5,840,840,0,4.0,7023809
404,2,680000000,3,4,4,194,194,800000,2.0,3505154
405,3,1200000000,5,5,5,750,750,0,3.0,1600000
406,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
407,3,2490000000,4,5,5,374,374,0,4.0,6657754
408,1,500000000,5,3,3,127,127,0,1.0,3937007
409,3,695000000,5,3,3,268,268,0,2.0,2593283
410,2,1900000000,5,5,5,600,600,0,4.0,3166666
411,3,2800000000,4,3,3,3610,3610,0,0.0,775623
412,3,700000000,3,4,4,248,248,700000,3.0,2822580
413,3,1650000000,4,5,5,325,937,0,3.0,1760939
414,3,300000000,3,3,3,209,209,0,1.0,1435406
415,3,1200000000,5,4,4,200,500,0,2.0,2400000
416,3,1200000000,5,5,5,700,700,0,4.0,1714285
417,3,625000000,5,5,5,201,201,0,3.0,3109452
418,3,598000000,3,3,3,160,160,418500,2.0,3737500
419,3,495000000,4,3,3,95,95,350000,1.0,5210526
420,3,1200000000,5,5,5,830,830,750000,4.0,1445783
421,3,380000000,3,3,3,100,100,383000,2.0,3800000
422,3,590000000,3,3,3,209,209,450000,2.0,2822966
423,3,980000000,3,5,5,159,143,950000,2.0,6853146
424,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
425,3,245000000,1,2,2,68,68,0,0.0,3602941
426,3,649000000,3,3,3,118,118,410000,2.0,5500000
427,2,970000000,4,5,5,220,220,796000,2.0,4409090
428,3,200000000,2,2,2,60,60,203000,0.0,3333333
429,3,360000000,3,3,3,75,77,0,1.0,4675324
430,2,667000000,3,4,4,143,144,570000,2.0,4631944
431,2,1500000000,4,5,5,454,454,1500000,4.0,3303964
432,1,164000000,2,2,2,56,56,0,0.0,2928571
433,3,900000000,3,4,4,191,191,0,1.0,4712041
434,2,1800000000,4,4,4,433,433,1153000,4.0,4157043
435,3,1300000000,4,5,5,180,300,800000,4.0,4333333
436,3,185000000,2,2,2,59,59,170000,1.0,3135593
437,2,860000000,3,4,4,246,246,100000000,4.0,3495934
438,3,280000000,3,2,2,70,70,228000,1.0,4000000
439,2,600000000,3,2,2,140,140,1117000,2.0,4285714
440,3,335000000,3,2,2,88,88,270000,1.0,3806818
441,1,570000000,3,2,2,103,103,488000,2.0,5533980
442,1,470000000,3,3,3,110,110,390000,1.0,4272727
443,2,1600000000,3,4,4,240,240,850000,2.0,6666666
444,0,290000000,3,2,2,69,68,350000,1.0,4264705
445,2,300000000,3,2,2,220,159,0,1.0,1886792
446,1,840000000,3,5,5,120,120,958000,2.0,7000000
447,2,1650000000,3,3,3,267,267,1050000,2.0,6179775
448,3,388000000,3,3,3,94,94,380000,1.0,4127659
449,1,259000000,1,1,1,37,33,191000,0.0,7848484
450,1,270000000,4,3,3,85,85,10000,1.0,3176470
451,3,1950000000,3,4,4,310,310,900000,3.0,6290322
452,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
453,3,5900000000,5,5,5,840,840,0,4.0,7023809
454,2,680000000,3,4,4,194,194,800000,2.0,3505154
455,3,1200000000,5,5,5,750,750,0,3.0,1600000
456,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
457,3,2490000000,4,5,5,374,374,0,4.0,6657754
458,1,500000000,5,3,3,127,127,0,1.0,3937007
459,3,695000000,5,3,3,268,268,0,2.0,2593283
460,2,1900000000,5,5,5,600,600,0,4.0,3166666
461,3,2800000000,4,3,3,3610,3610,0,0.0,775623
462,3,700000000,3,4,4,248,248,700000,3.0,2822580
463,3,1650000000,4,5,5,325,937,0,3.0,1760939
464,3,300000000,3,3,3,209,209,0,1.0,1435406
465,3,1200000000,5,4,4,200,500,0,2.0,2400000
466,3,1200000000,5,5,5,700,700,0,4.0,1714285
467,3,625000000,5,5,5,201,201,0,3.0,3109452
468,3,598000000,3,3,3,160,160,418500,2.0,3737500
469,3,495000000,4,3,3,95,95,350000,1.0,5210526
470,3,1200000000,5,5,5,830,830,750000,4.0,1445783
471,3,380000000,3,3,3,100,100,383000,2.0,3800000
